,id,a,b,c,alpha,beta,gamma
503,mp-9084,4.134965697224747,4.134965697224747,24.211601092989294,90.0,90.0,120.00000000000001
504,mp-9124,5.904923725400157,5.904923725400157,5.904923725400157,90.0,90.0,90.0
505,mp-9125,5.257915544365719,5.257915544365719,5.02144323,90.0,90.0,120.00000000000001
506,mp-9126,5.291663207155271,5.291663207155271,5.38664006,90.0,90.0,120.00000000000001
507,mp-9127,5.32814760746502,5.32814760746502,5.81558169,90.0,90.0,120.00000000000001
508,mp-9166,3.2600891591127903,3.2600891591127903,14.147028540108755,90.0,90.0,119.99999999999999
509,mp-9195,4.263533,4.263533,9.246547,90.0,90.0,90.0
510,mp-9200,5.22438571,5.22438571,5.22438571,90.0,90.0,90.0
511,mp-9244,2.7378283032087447,2.7378283032087447,6.97399677,90.0,90.0,120.00000000000001
512,mp-9250,4.60204775,4.60204775,7.50977297,90.0,90.0,90.0
513,mp-9262,8.98590295986331,8.98590295986331,8.98590295986331,90.0,90.0,90.0
514,mp-9263,4.454602998756176,4.454602998756176,24.48065650338662,90.0,90.0,119.99999999999999
515,mp-9295,5.95981266,5.95981266,5.95981266,90.0,90.0,90.0
516,mp-9306,3.8591551526387557,3.8591551526387557,12.806557819802462,90.0,90.0,90.0
517,mp-9307,4.196748674773235,4.196748674773235,12.98374003784539,90.0,90.0,90.0
518,mp-9321,4.947177871579435,4.947177871579435,15.853010885369242,90.0,90.0,90.0
519,mp-9361,4.313496055084618,4.313496055084618,22.97714164377258,90.0,90.0,119.99999999999999
520,mp-9362,4.249940644456817,4.249940644456817,23.057658547145376,90.0,90.0,119.99999999999999
521,mp-9363,4.216751312247566,4.216751312247566,23.027030299605876,90.0,90.0,119.99999999999999
522,mp-9365,4.080039225430496,4.080039225430496,22.967554764114958,90.0,90.0,119.99999999999999
523,mp-9366,4.039554085036224,4.039554085036224,22.944837856657568,90.0,90.0,119.99999999999999
524,mp-9367,4.019733969804928,4.019733969804928,22.928356698052692,90.0,90.0,119.99999999999999
525,mp-9368,4.001717706350544,4.001717706350544,22.919462553765847,90.0,90.0,119.99999999999999
526,mp-9370,3.9671027315775125,3.9671027315775125,22.88982880448147,90.0,90.0,120.00000000000001
527,mp-9437,5.941343040165678,5.941343040165678,5.941343040165678,90.0,90.0,90.0
528,mp-9488,3.8992245800060643,3.8992245800060643,19.410831489681875,90.0,90.0,120.00000000000001
529,mp-9497,3.9628999685384443,3.9628999685384443,8.408912,90.0,90.0,120.00000000000001
