id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma,contains_rare_earth,is_element,num_of_elements
mp-20289,NaInS2,1.8377,False,43352.512730792936,3.81681116079536,3.81681116079536,19.88759370298708,90.0,90.0,120.0,False,False,3
mp-20526,PbS,0.0,True,643838.0038944525,5.96737082,5.97403714,11.27537033,90.0,90.0,90.0,False,False,2
mp-20731,In2HgSe4,0.6337000000000002,False,343079.5997749675,5.937919136147785,5.937919136147785,11.700519674165704,90.0,90.0,90.0,False,False,3
mp-20790,InPS4,2.4754000000000005,False,27061.905255413483,5.727184582782915,5.727184582782915,9.07940786850607,90.0,90.0,90.0,False,False,3
mp-2068,RhF3,0.8625999999999999,False,388663.9315445543,4.876165023637776,4.876165023637776,13.58457076461966,90.0,90.0,120.0,False,False,2
mp-2074,Li3Sb,0.7073999999999998,False,116516.78839858368,6.544922671159856,6.544922671159856,6.544922671159856,90.0,90.0,90.0,False,False,2
mp-2097,SnO,0.4096000000000002,False,129164.756652113,3.81369522,3.81369522,4.8869133,90.0,90.0,90.0,False,False,2
mp-2133,ZnO,0.7227,False,67161.44374989724,3.2373510234543743,3.2373510234543743,5.2220613,90.0,90.0,120.0,False,False,2
mp-2172,AlAs,1.5036999999999998,False,92207.77653150584,5.675801600904916,5.675801600904916,5.675801600904916,90.0,90.0,90.0,False,False,2
mp-2176,ZnTe,1.0732999999999997,False,227475.9718862572,6.1112291203687645,6.1112291203687645,6.1112291203687645,90.0,90.0,90.0,False,False,2
mp-2201,PbSe,0.4256999999999999,False,1048176.3430566724,6.181647072994785,6.181647072994785,6.181647072994785,90.0,90.0,90.0,False,False,2
mp-2251,Li3N,0.984,False,219852.35980756336,3.6097274001943127,3.6097274001943127,3.85463861,90.0,90.0,120.0,False,False,2
mp-2286,Li2Se,2.9746,False,4373.008537554134,5.9520885296812125,5.9520885296812125,5.9520885296812125,90.0,90.0,90.0,False,False,2
mp-2319,P2Os,0.8902999999999999,False,306582.0191149501,2.94564109,5.09488199,5.90694818,90.0,90.0,90.0,False,False,2
